time,flowId,srcIP,dstIP,txPkts,rxPkts,lostPkts,throughputMbps,delayMs,jitterMs,label
1.000000,1,10.0.38.2,10.0.36.2,46187,46180,0,199.184928,2.016600,0.005520,0
1.000000,2,10.0.36.2,10.0.38.2,23090,22960,0,9.551392,2.000864,0.000000,0
1.000000,3,10.0.19.2,10.0.71.2,14147,13880,0,59.992672,6.041748,0.005560,0
1.000000,4,10.0.71.2,10.0.19.2,6941,6941,0,2.887552,6.002620,0.000037,0
1.000000,5,10.0.40.2,10.0.45.2,34439,34172,0,147.437664,2.017596,0.005526,0
1.000000,6,10.0.45.2,10.0.40.2,17086,17086,0,7.107808,2.000864,0.000000,0
1.000000,7,10.0.62.2,10.0.37.2,10526,10409,0,45.034976,6.044297,0.005578,0
1.000000,8,10.0.37.2,10.0.62.2,5205,5130,0,2.134112,6.002592,0.000000,0
1.000000,9,10.0.64.2,10.0.24.2,3200,3200,0,13.968992,6.067623,0.005759,0
1.000000,10,10.0.39.2,10.0.20.2,3200,2933,0,12.818400,6.070050,0.005768,0
1.000000,11,10.0.24.2,10.0.64.2,1601,1467,0,0.610368,6.004264,0.001161,0
1.000000,12,10.0.54.2,10.0.73.2,3200,2933,0,12.818400,6.070619,0.005778,0
1.000000,13,10.0.20.2,10.0.39.2,1467,1467,0,0.610304,6.002613,0.000041,0
1.000000,14,10.0.73.2,10.0.54.2,1467,1467,0,0.610368,6.003486,0.001034,0
1.000000,15,10.0.46.2,10.0.47.2,9074,8954,0,38.764896,2.027067,0.005588,0
1.000000,16,10.0.47.2,10.0.46.2,4477,4404,0,1.832096,2.000864,0.000000,0
1.000000,17,10.0.63.2,10.0.27.2,797,797,0,3.613664,6.163627,0.006492,0
1.000000,18,10.0.27.2,10.0.63.2,399,266,0,0.110752,6.003529,0.001015,0
1.000000,19,10.0.29.2,10.0.63.2,530,282,0,1.317984,6.239513,0.006365,0
1.000000,20,10.0.63.2,10.0.29.2,141,141,0,0.058688,6.092976,0.013041,0
1.000000,21,10.0.51.2,10.0.68.2,30,12,0,0.047904,6.042107,0.006257,0
1.000000,22,10.0.68.2,10.0.51.2,6,6,0,0.002528,6.002624,0.000038,0
2.000000,1,10.0.38.2,10.0.36.2,66519,66490,0,286.526784,2.013765,0.005504,0
2.000000,2,10.0.36.2,10.0.38.2,33245,33259,0,13.835744,2.000864,0.000000,0
2.000000,3,10.0.19.2,10.0.71.2,22161,22200,0,95.667200,6.044469,0.005774,0
2.000000,4,10.0.71.2,10.0.19.2,11101,11081,0,4.609824,6.003319,0.000973,0
2.000000,5,10.0.40.2,10.0.45.2,66282,66483,0,286.497408,2.021653,0.005544,0
2.000000,6,10.0.45.2,10.0.40.2,33242,33141,0,13.786656,2.001554,0.000076,0
2.000000,7,10.0.62.2,10.0.37.2,16783,16696,0,77.047328,6.033972,0.005345,0
2.000000,8,10.0.37.2,10.0.62.2,8690,8764,0,3.677376,6.002618,0.000044,0
2.000000,9,10.0.64.2,10.0.24.2,17302,17302,0,74.559872,6.038047,0.005707,0
2.000000,10,10.0.39.2,10.0.20.2,17303,17570,0,75.710880,6.041990,0.005589,0
2.000000,11,10.0.24.2,10.0.64.2,8664,8798,0,3.660992,6.008861,0.003282,0
2.000000,12,10.0.54.2,10.0.73.2,22161,22161,0,95.499136,6.039290,0.006413,0
2.000000,13,10.0.20.2,10.0.39.2,8787,8787,0,3.655584,6.006402,0.001467,0
2.000000,14,10.0.73.2,10.0.54.2,11130,11130,0,4.634688,6.003199,0.000889,0
2.000000,15,10.0.46.2,10.0.47.2,11429,11549,0,49.764384,2.014716,0.005506,0
2.000000,16,10.0.47.2,10.0.46.2,5776,5849,0,2.433184,2.000864,0.000000,0
2.000000,17,10.0.63.2,10.0.27.2,13162,13162,0,60.421024,6.045945,0.005477,0
2.000000,18,10.0.27.2,10.0.63.2,6658,6715,0,2.804064,6.002843,0.000338,0
2.000000,19,10.0.29.2,10.0.63.2,19973,20221,0,87.211296,6.041377,0.005701,0
2.000000,20,10.0.63.2,10.0.29.2,10112,10112,0,4.206656,6.008740,0.002717,0
2.000000,21,10.0.51.2,10.0.68.2,12710,12574,0,59.023584,6.043370,0.006016,0
2.000000,22,10.0.68.2,10.0.51.2,6417,6417,0,2.680800,6.003433,0.000607,0
2.000000,23,10.0.45.2,10.0.42.2,64451,64343,0,277.454560,2.015800,0.005516,0
2.000000,24,10.0.42.2,10.0.45.2,32172,32092,0,13.350304,2.000866,0.000003,0
2.000000,25,10.0.55.2,10.0.28.2,13599,13551,0,63.634528,6.045861,0.005516,0
2.000000,26,10.0.28.2,10.0.55.2,6865,6786,0,2.834336,6.003343,0.001129,0
2.000000,27,10.0.65.2,10.0.35.2,18686,18620,0,80.418912,6.050022,0.005596,0
2.000000,28,10.0.35.2,10.0.65.2,9317,9217,0,3.834944,6.004866,0.000813,0
2.000000,29,10.0.53.2,10.0.48.2,54464,54197,0,233.732064,2.016180,0.005518,0
2.000000,30,10.0.48.2,10.0.53.2,27099,27099,0,11.273216,2.000864,0.000000,0
2.000000,31,10.0.35.2,10.0.65.2,5377,5263,0,24.748608,6.040316,0.005751,0
2.000000,32,10.0.65.2,10.0.35.2,2715,2715,0,1.136832,6.002915,0.000472,0
2.000000,33,10.0.25.2,10.0.35.2,13423,13328,0,57.653248,6.040873,0.005136,0
2.000000,34,10.0.35.2,10.0.25.2,7607,7506,0,3.186592,6.005077,0.001887,0
2.000000,35,10.0.75.2,10.0.75.2,410914,410914,0,1770.940256,0.000000,0.000000,0
2.000000,36,10.0.75.2,10.0.75.2,205458,205458,0,85.470560,0.000000,0.000000,0
2.000000,37,10.0.76.2,10.0.73.2,37376,37256,0,160.727648,2.019618,0.005963,0
2.000000,38,10.0.73.2,10.0.76.2,18628,18555,0,7.718912,2.000864,0.000000,0
2.000000,39,10.0.22.2,10.0.21.2,32009,31791,0,137.177536,2.017895,0.005538,0
2.000000,40,10.0.21.2,10.0.22.2,15896,15871,0,6.602368,2.001981,0.000441,0
2.000000,41,10.0.21.2,10.0.19.2,30968,30870,0,133.208640,2.019839,0.005546,0
2.000000,42,10.0.19.2,10.0.21.2,15435,15351,0,6.386048,2.001222,0.000502,0
2.000000,43,10.0.56.2,10.0.62.2,20503,20503,0,88.529280,2.020110,0.005542,0
2.000000,44,10.0.62.2,10.0.56.2,10253,10253,0,4.265280,2.000864,0.000000,0
2.000000,45,10.0.20.2,10.0.26.2,4535,4535,0,19.721952,4.072358,0.006938,0
2.000000,46,10.0.26.2,10.0.20.2,2268,2134,0,0.887776,4.002939,0.000442,0
2.000000,47,10.0.78.2,10.0.77.2,9437,9341,0,40.432608,2.026589,0.005585,0
2.000000,48,10.0.77.2,10.0.78.2,4671,4585,0,1.907392,2.000864,0.000000,0
2.000000,49,10.0.66.2,10.0.71.2,9074,8969,0,38.829536,2.030335,0.006026,0
2.000000,50,10.0.71.2,10.0.66.2,4485,4404,0,1.832096,2.000864,0.000000,0
2.000000,51,10.0.59.2,10.0.45.2,1064,1064,0,4.764256,6.161770,0.008314,0
2.000000,52,10.0.45.2,10.0.59.2,534,399,0,0.166016,6.002856,0.000464,0
2.000000,53,10.0.16.2,10.0.20.2,4802,4802,0,20.872544,2.039522,0.005796,0
2.000000,54,10.0.20.2,10.0.16.2,2401,2268,0,0.943520,2.001634,0.001505,0
3.000000,1,10.0.38.2,10.0.36.2,66510,66482,0,286.493888,2.016484,0.005648,0
3.000000,2,10.0.36.2,10.0.38.2,33241,33255,0,13.834080,2.002181,0.001867,0
3.000000,3,10.0.19.2,10.0.71.2,22161,22200,0,95.667200,6.043100,0.006908,0
3.000000,4,10.0.71.2,10.0.19.2,11342,11321,0,4.731424,6.004600,0.001913,0
3.000000,5,10.0.40.2,10.0.45.2,66483,66483,0,286.497408,2.016975,0.005817,0
3.000000,6,10.0.45.2,10.0.40.2,33241,33241,0,13.828256,2.000866,0.000005,0
3.000000,7,10.0.62.2,10.0.37.2,10821,10926,0,51.395904,6.039601,0.005978,0
3.000000,8,10.0.37.2,10.0.62.2,5829,5830,0,2.459008,6.002671,0.000117,0
3.000000,9,10.0.64.2,10.0.24.2,0,0,0,0.000000,0.000000,0.000000,0
3.000000,10,10.0.39.2,10.0.20.2,0,0,0,0.000000,0.000000,0.000000,0
3.000000,11,10.0.24.2,10.0.64.2,0,0,0,0.000000,0.000000,0.000000,0
3.000000,12,10.0.54.2,10.0.73.2,15899,16025,0,71.395072,6.037946,0.007252,0
3.000000,13,10.0.20.2,10.0.39.2,0,0,0,0.000000,0.000000,0.000000,0
3.000000,14,10.0.73.2,10.0.54.2,8324,8324,0,3.491904,6.003686,0.001276,0
3.000000,15,10.0.46.2,10.0.47.2,0,0,0,0.000000,0.000000,0.000000,0
3.000000,16,10.0.47.2,10.0.46.2,0,0,0,0.000000,0.000000,0.000000,0
3.000000,17,10.0.63.2,10.0.27.2,14273,14273,0,67.140192,6.056834,0.007481,0
3.000000,18,10.0.27.2,10.0.63.2,7175,7181,0,2.990560,6.004607,0.002350,0
3.000000,19,10.0.29.2,10.0.63.2,0,0,0,0.000000,0.000000,0.000000,0
3.000000,20,10.0.63.2,10.0.29.2,0,0,0,0.000000,0.000000,0.000000,0
3.000000,21,10.0.51.2,10.0.68.2,9251,9324,0,43.860096,6.038307,0.007210,0
3.000000,22,10.0.68.2,10.0.51.2,4865,4865,0,2.042528,6.006410,0.002369,0
3.000000,23,10.0.45.2,10.0.42.2,66582,66483,0,286.497408,2.015321,0.005506,0
3.000000,24,10.0.42.2,10.0.45.2,33241,33291,0,13.849056,2.000917,0.000064,0
3.000000,25,10.0.55.2,10.0.28.2,18599,18584,0,87.324640,6.049237,0.006515,0
3.000000,26,10.0.28.2,10.0.55.2,9358,9382,0,3.909248,6.003844,0.001144,0
3.000000,27,10.0.65.2,10.0.35.2,22161,22062,0,95.072512,6.051849,0.007283,0
3.000000,28,10.0.35.2,10.0.65.2,11108,11154,0,4.646912,6.004622,0.001254,0
3.000000,29,10.0.53.2,10.0.48.2,66483,66525,0,286.678400,2.017025,0.005737,0
3.000000,30,10.0.48.2,10.0.53.2,33262,33241,0,13.828256,2.000864,0.000000,0
3.000000,31,10.0.35.2,10.0.65.2,7137,7186,0,33.802944,6.040222,0.006220,0
3.000000,32,10.0.65.2,10.0.35.2,3766,3766,0,1.584704,6.004719,0.001780,0
3.000000,33,10.0.25.2,10.0.35.2,22185,22158,0,95.487392,6.045152,0.006003,0
3.000000,34,10.0.35.2,10.0.25.2,12593,12614,0,5.348416,6.003296,0.000617,0
3.000000,35,10.0.75.2,10.0.75.2,0,0,0,0.000000,0.000000,0.000000,0
3.000000,36,10.0.75.2,10.0.75.2,0,0,0,0.000000,0.000000,0.000000,0
3.000000,37,10.0.76.2,10.0.73.2,66483,66558,0,286.820608,2.014506,0.005755,0
3.000000,38,10.0.73.2,10.0.76.2,33279,33241,0,13.828256,2.000864,0.000000,0
3.000000,39,10.0.22.2,10.0.21.2,66489,66603,0,287.014528,2.014502,0.005508,0
3.000000,40,10.0.21.2,10.0.22.2,33301,33245,0,13.829920,2.001178,0.000465,0
3.000000,41,10.0.21.2,10.0.19.2,66483,66517,0,286.644320,2.015228,0.005556,0
3.000000,42,10.0.19.2,10.0.21.2,33259,33241,0,13.828256,2.001472,0.000975,0
3.000000,43,10.0.56.2,10.0.62.2,0,0,0,0.000000,0.000000,0.000000,0
3.000000,44,10.0.62.2,10.0.56.2,0,0,0,0.000000,0.000000,0.000000,0
3.000000,45,10.0.20.2,10.0.26.2,33294,33108,0,142.673408,4.039843,0.006849,0
3.000000,46,10.0.26.2,10.0.20.2,16554,16647,0,6.925152,4.006292,0.001710,0
3.000000,47,10.0.78.2,10.0.77.2,66615,66483,0,286.497408,2.014348,0.005504,0
3.000000,48,10.0.77.2,10.0.78.2,33241,33308,0,13.856128,2.001028,0.000236,0
3.000000,49,10.0.66.2,10.0.71.2,66483,66579,0,286.911104,2.014510,0.005727,0
3.000000,50,10.0.71.2,10.0.66.2,33289,33241,0,13.828256,2.000864,0.000000,0
3.000000,51,10.0.59.2,10.0.45.2,22161,22161,0,95.499136,6.045612,0.006973,0
3.000000,52,10.0.45.2,10.0.59.2,11274,11270,0,4.705152,6.003086,0.000491,0
3.000000,53,10.0.16.2,10.0.20.2,66519,66483,0,286.497408,2.016350,0.005608,0
3.000000,54,10.0.20.2,10.0.16.2,33242,33259,0,13.835744,2.001970,0.001474,0
3.000000,55,10.0.27.2,10.0.22.2,30464,30434,0,131.329376,4.034269,0.006169,0
3.000000,56,10.0.22.2,10.0.27.2,15217,15099,0,6.281216,4.006499,0.002234,0
3.000000,57,10.0.67.2,10.0.27.2,19220,19220,0,83.004512,6.062163,0.006684,0
3.000000,58,10.0.27.2,10.0.67.2,9832,9694,0,4.051040,6.006634,0.003991,0
3.000000,59,10.0.36.2,10.0.35.2,47504,47360,0,204.269152,2.020787,0.006568,0
3.000000,60,10.0.35.2,10.0.36.2,23680,23619,0,9.825536,2.002630,0.001190,0
3.000000,61,10.0.28.2,10.0.48.2,13346,13346,0,57.691488,6.053964,0.007418,0
3.000000,62,10.0.48.2,10.0.28.2,6674,6541,0,2.721216,6.006415,0.002438,0
3.000000,63,10.0.57.2,10.0.78.2,6178,6047,0,28.436544,6.059506,0.007384,0
3.000000,64,10.0.78.2,10.0.57.2,3226,3226,0,1.366432,6.007263,0.004246,0
3.000000,65,10.0.49.2,10.0.59.2,18431,18419,0,79.552736,4.040833,0.006373,0
3.000000,66,10.0.59.2,10.0.49.2,9210,9082,0,3.778144,4.004495,0.001701,0
3.000000,67,10.0.70.2,10.0.51.2,10676,10409,0,45.034976,6.046066,0.005683,0
3.000000,68,10.0.51.2,10.0.70.2,5205,5205,0,2.165376,6.004189,0.002067,0
3.000000,69,10.0.34.2,10.0.79.2,4895,4802,0,20.872544,6.073202,0.005955,0
3.000000,70,10.0.79.2,10.0.34.2,2415,2314,0,0.962720,6.029714,0.004663,0
3.000000,71,10.0.52.2,10.0.65.2,2132,2132,0,9.366624,6.107931,0.007438,0
3.000000,72,10.0.65.2,10.0.52.2,1117,968,0,0.405792,6.003814,0.001719,0
3.000000,73,10.0.58.2,10.0.23.2,1331,1064,0,4.764256,6.161980,0.008266,0
3.000000,74,10.0.23.2,10.0.58.2,564,564,0,0.237408,6.004652,0.002255,0
3.000000,75,10.0.26.2,10.0.36.2,797,699,0,3.191744,6.252574,0.011406,0
3.000000,76,10.0.36.2,10.0.26.2,389,298,0,0.127008,6.008652,0.005288,0
4.000000,1,10.0.38.2,10.0.36.2,66546,66484,0,286.500928,2.014714,0.005846,0
4.000000,2,10.0.36.2,10.0.38.2,33242,33274,0,13.841984,2.001485,0.001106,0
4.000000,3,10.0.19.2,10.0.71.2,22161,22178,0,95.573184,6.039753,0.006643,0
4.000000,4,10.0.71.2,10.0.19.2,11648,11636,1,4.889344,6.007953,0.001719,0
4.000000,5,10.0.40.2,10.0.45.2,66501,66483,0,286.497408,2.015791,0.005770,0
4.000000,6,10.0.45.2,10.0.40.2,33242,33251,0,13.832416,2.000879,0.000030,0
4.000000,7,10.0.62.2,10.0.37.2,7340,7363,0,34.635552,6.044291,0.007308,0
4.000000,8,10.0.37.2,10.0.62.2,4012,4012,0,1.698816,6.003199,0.000792,0
4.000000,9,10.0.64.2,10.0.24.2,0,0,0,0.000000,0.000000,0.000000,0
4.000000,10,10.0.39.2,10.0.20.2,0,0,0,0.000000,0.000000,0.000000,0
4.000000,11,10.0.24.2,10.0.64.2,0,0,0,0.000000,0.000000,0.000000,0
4.000000,12,10.0.54.2,10.0.73.2,12029,12038,0,56.626752,6.036029,0.007205,0
4.000000,13,10.0.20.2,10.0.39.2,0,0,0,0.000000,0.000000,0.000000,0
4.000000,14,10.0.73.2,10.0.54.2,6154,6154,0,2.571840,6.003284,0.000941,0
4.000000,15,10.0.46.2,10.0.47.2,0,0,0,0.000000,0.000000,0.000000,0
4.000000,16,10.0.47.2,10.0.46.2,0,0,0,0.000000,0.000000,0.000000,0
4.000000,17,10.0.63.2,10.0.27.2,13219,13211,0,62.144544,6.038631,0.007671,0
4.000000,18,10.0.27.2,10.0.63.2,6698,6681,0,2.787168,6.004479,0.002458,0
4.000000,19,10.0.29.2,10.0.63.2,0,0,0,0.000000,0.000000,0.000000,0
4.000000,20,10.0.63.2,10.0.29.2,0,0,0,0.000000,0.000000,0.000000,0
4.000000,21,10.0.51.2,10.0.68.2,7226,7216,0,33.944064,6.036687,0.007468,0
4.000000,22,10.0.68.2,10.0.51.2,3767,3767,0,1.581216,6.004053,0.001813,0
4.000000,23,10.0.45.2,10.0.42.2,66540,66483,0,286.497408,2.016012,0.005508,0
4.000000,24,10.0.42.2,10.0.45.2,33242,33270,0,13.840320,2.000950,0.000131,0
4.000000,25,10.0.55.2,10.0.28.2,15308,15294,0,71.942976,6.041422,0.007327,0
4.000000,26,10.0.28.2,10.0.55.2,7963,7980,0,3.347520,6.004720,0.002300,0
4.000000,27,10.0.65.2,10.0.35.2,21694,21777,0,94.126144,6.044240,0.008119,0
4.000000,28,10.0.35.2,10.0.65.2,11337,11343,0,4.758176,6.005957,0.003429,0
4.000000,29,10.0.53.2,10.0.48.2,66483,66553,0,286.799456,2.014459,0.005630,0
4.000000,30,10.0.48.2,10.0.53.2,33277,33242,0,13.828672,2.000864,0.000000,0
4.000000,31,10.0.35.2,10.0.65.2,6159,6224,0,29.272192,6.035914,0.005982,0
